Continent,Country,Weather and Geography
asia,nepal,"Monsoon season begins around the end of June and lasts until the end of September. About 80% of Nepal's annual rainfall is during that period, so the remainder of the year is pretty dry. Spring and autumn are the most pleasant seasons; winter temperatures drop to freezing, with a high level of snowfall in the mountains, while high summer can be blisteringly hot. Summer and late spring temperatures range from 28ºC (83ºF) in the hill regions to more than 40ºC (104ºF) in the Terai. In winter, average maximum and minimum temperatures in the Terai range from a brisk 7ºC (45ºF) to a mild 23ºC (74ºF). The central valleys experience a minimum temperature often falling bellow freezing point and a chilly 12ºC (54ºF) maximum. Much colder temperatures prevail at higher elevations. The Kathmandu Valley, at an altitude of 1,310m (4,297ft), has a mild climate, ranging from 19-27ºC (67-81ºF) in summer, and 2-20ºC (36-68ºF) in winter. Lightweight and tropical clothes with umbrella are advised for June to August. Between October and March, lightweight clothes are worn in Kathmandu, with a coat for evenings and warm clothing for the mountains. When trekking in the mountains, high quality trekking gear that can handle minus temperatures is recommended all year round. Nepal is a landlocked kingdom sharing borders with Tibet to the north and India to the west, south and east. The country can be divided into six zones: the Terai, the Chure hills, the Mahabharat range, the Pahar zone, the Himalaya and the Trans-Himalaya. The greater part of the country lies on the southern slope of the Himalayas, extending down from the highest peaks through hill country to the upper edge of the Ganges Plain. The hilly central area is crossed by the Lower Himalayas, where there are eight of the highest peaks in the world, leading up to Mount Everest. Wildlife in Nepal includes tigers, leopards, gaur, elephants, buffalo, deer and rhinos."
asia,north-korea,"Moderate with four distinct seasons. The hottest time is July to August, which is also the rainy season; coldest is from December to January, winters in the far north can be very severe. Spring and autumn are mild and mainly dry. Lightweight cottons and linens are worn during the summer. Light to mediumweights are advised in the spring and autumn, and medium to heavyweights in the winter. Waterproofs are advisable during the rainy season. The Democratic People's Republic of Korea shares borders in the north with China, in the east with the Sea of Japan, in the west with the Yellow Sea, and in the south with the demilitarised zone (separating it from the Republic of Korea). Most of the land consists of hills and low mountains and only a small area is cultivable. Intensive water and soil conservation programmes, including land reclamation from the sea, are given high priority. The eastern coast is rocky and steep with mountains rising from the water and this area contains most of the waterways."
asia,pakistan,"Pakistan has three seasons: winter (November to March) is warm and cooled by sea breezes on the coast; summer (April to July) has extreme temperatures and the monsoon season (July to September) has the highest rainfall on the hills. Karachi has little rain. Global warming is starting to become apparent in Pakistan with warmer winters, glacial melt and a slight dip in temperature in the summer months.The best time to visit southern Pakistan is between November and March, when the days are cool and clear. The best time to visit northern Pakistan, for trekking, is from April to October; outside of these months it will be snowy and very difficult to reach many mountainous places. Bear in mind that the monsoon plays havoc with travel in Pakistan and is not to be taken lightly, as we have witnessed recently with the devastating floods of 2010, which were the worst in 80 years. Wear lightweights, with warmer clothing, including base-layers and woollens, for upland areas in the winter. Good trekking boots are a must for mountain explorers, as are walking poles and thermals. Visitors can buy woollen socks and sweaters at a very good price in the bazaars of Pakistan, but they might not be up to western standards and will be quite heavy. Rainwear is advised for the monsoon season so if you are to spend any time in the cities during this time, do not rule out the possibility of bringing along some wellington boots as the rain can be torrential resulting in very flooded lanes. It's easiest to buy the necessary shalwar kameez (tunic and baggy trousers) when you land in Pakistan - this is essential for women, and optional, but advisable for the heat more than anything, for men. In the intense heat it may be tempting to lose layers – in respect of local customs, and to spare yourself unwanted harassment and disapproval, it is far wiser to cover up in cool, white flowing cottons, like the Pakistanis do, thus keeping the sun off too. Pakistan has borders to the north with Afghanistan, to the east with India and to the west with Iran; the Arabian Sea lies to the south. In the northeast is the disputed territory of Jammu and Kashmir, bounded by Afghanistan, China and India. The land covers a huge 796,096 sq km (305,058 sq miles) making it over three times the size of the UK. Pakistan comprises six distinct regions. There is the northern mountain area which has a high concentration of jaw-dropping peaks, and some of the largest glaciers outside of the polar regions - in fact five are over 45 km (28 miles) in length - as well as the Himalayan range which includes the fabled Nanga Parbat, which stands a whopping 8,125m (26,657ft) tall. The other regions are comprised by the northern plateau, which is effectively the lowlands at the bottom of the mountain ranges, the western mountains, the Balochistan plateau (which is hilly and very sparsely populated), the southeast desert which stretches into Rajasthan in India and the plain of the river Indus, which is within Sindh and the Punjab (‘Punjab’ literally means five waters, named after the Indus and it’s four tributaries)."
asia,philippines,"The Philippines is hot year-round but sea breezes can add freshness during the winter (November to February). The typhoon season lasts from around July to October, although in recent years it seems to have been starting and finishing later – in 2010 for example there was severe flooding in North Luzon as late as November. Rainfall patterns vary across the country. In Manila, Palawan and Coron, for example, most rain occurs in the typhoon season. Other areas (including much of the Bicol region) have no distinct dry season, with the most rain from December to February. The Visayas have only a short dry season from November to January, while in Leyte and Bohol, rainfall levels don’t change much throughout the year. Travellers should therefore check the local climate before making plans. Most tourists visit from January to May (and particularly the first half of that period) when most of the country is undergoing its best climatic conditions. Surfers, on the other hand, are attracted to the islands during the typhoon season as it brings the biggest waves. Lightweight cottons and linens are worn throughout most of the year, with warmer clothes useful on cooler evenings. Rainwear or umbrellas are advisable for the rainy season. The Philippines lie off the southeast coast of Asia between Taiwan and Borneo in the Pacific Ocean and South China Sea. They are composed of 7,107 islands and islets (7,108 at low tide), 2,773 of which are named. The two largest islands, Luzon in the north and Mindanao in the south, account for 65% of the total land area and contain 60% of the country's population. Between the two lie the Visayas Islands."
asia,singapore,"Located just north of the equator, Singapore has a tropical climate and stays hot and humid throughout the year. Temperatures average around 31º C (88º F) during the day with little seasonal variation, although it’s slightly cooler in December and January, and hottest in April and May. Temperatures are unlikely to dip below 23º C (74º F) at night; the lowest temperature ever recorded was just over 19º C (66º F). Singapore receives a considerable amount of rainfall - approximately 2340mm annually. Although there are no distinct wet or dry seasons, the region is affected by two different monsoons. The Northeast Monsoon generally takes place from December to March and is accompanied by more frequent rain, particularly from November to January. Conversely, the Southwest Monsoon produces a marginally dryer climate from May to September. Despite the slightly lower overall precipitation levels, particularly from June to August, the Southwest Monsoon is characterized by its early-morning rainstorms; these often persist for one or two hours then taper off for the afternoon. Even these drier months experience a fair amount of rain (around 150mm each month), so be prepared for unpredictably wet weather any time of the year. The beginning and end of the two monsoon seasons are not well defined, but are separated by the shorter inter-monsoon periods of April/May and October/November, during which months afternoon and evening rain showers are likely. These showers are typically sudden and heavy, but often only last for a short time. The region is extremely humid, with humidity levels usually between 70% and 90%; often the air is muggiest in the early morning, abating somewhat in the afternoon. On rainy days it is not unreasonable to expect the humidity to reach 100%. When visiting, be sure to drink enough water and seek frequent refuge from the sticky heat indoors. March and September are particularly humid and often very uncomfortable. Thunderstorms are also a very regular phenomenon, occurring on roughly 40% of all days year-round but particularly common during the Southeast Monsoon. In fact, this small city-state has one of the highest rates of lightning activity worldwide. Despite the unpredictability of the weather, Singapore experiences as much brilliant sunshine as it does rain, and therefore makes for a delightful beach destination. If sunbathing happens to be interrupted by an unexpected shower, there is at least a plethora of indoor entertainment. As Singapore’s weather does not vary drastically throughout the year, tourism in the area is relatively steady year-round. The weather can be erratic and unpredictable, so it may be best to plan a visit based on the festival season rather than the climate; some of the nation’s most notable are the grand celebrations of Chinese New Year, the Lantern Festival and the Art Festival. Accommodation prices rise significantly during the Formula One racing. Be sure to pack lightweight cottons and linens to avoid becoming overheated in the muggy Singapore climate. Also remember to carry an umbrella any time of year, but particularly during the rainy season. The island of Singapore is situated off the southern extremity of the Malay Peninsula, separated from the mainland by the Johor Strait which is about 1km (0.8 miles) wide. Causeways run across the strait carrying roads, a railway and water pipes. The main island is mainly flat with only low hills, the highest being Bukit Timah at 166m (545ft). In the northeast of the island, and in the urban district, large areas have been reclaimed, and much of the original jungle and swamp covering the low-lying areas has been cleared. In addition to the main island, the Republic of Singapore includes more than 60 much smaller islands and islets."
asia,south-korea,"Moderate climate with four seasons, making any season a fine time to visit as long as you wear appropriate clothing. The hottest part of the year is during the rainy season between July and August, and the coldest is December to February. Occasional typhoons bring high winds and floods. Spring and autumn are mild and mainly dry and are generally considered the best times to visit. Lightweight cottons and linens are worn during summer, with light- to mediumweights in spring and autumn. Medium- to heavyweights are advised during the winter. The Republic of Korea (South Korea) is a peninsula that shares borders to the north with the demilitarised zone (separating it from the Democratic People's Republic of Korea), to the east with the Sea of Japan (East Sea), to the south with the Korea Strait (separating it from Japan), and to the west with the Yellow Sea. There are many islands and bays in the Korea Strait, including the largest, the volcanic island of Jeju-do, which lies off the southwest coast and is also home to South Korea's highest mountain, Mount Halla, at 1,950m (6,397ft). Most of the country consists of hills and mountains with the 30% of flat plain home to the majority of the population and cultivation. Most rivers rise in the mountains to the east, flowing west and south to the Yellow Sea. The Naktong River flows into the Korea Strait near the southern port of Busan, Korea's second largest city after Seoul. The eastern coast is rocky and steep with mountains rising from the sea."
asia,sri-lanka,"Sri Lanka’s climate is tropical and consists of distinct wet and dry seasons. Generally speaking, the coastal areas of Sri Lanka enjoy temperatures averaging 28°C (82°F) while the upland areas are cooler and more temperate, with a yearly average around 16-20°C (60-68°F). The best time to visit Sri Lanka depends on where you go. The best time to visit the southwest region of Sri Lanka The best time to visit the southwest region of Sri Lanka is from December to April. During this time, the weather is warm; the city of Galle on the southwestern tip enjoys an average high of 29°C (84°F) for example. However, the Yala monsoon brings abundant rainfall to the southwest region from May to September, and to November in some coastal cities. The best time to visit the northeast region of Sri Lanka The best time to visit the northeast region of Sri Lanka is from May to September. The sun-drenched Trincomalee, a port city on the northeast coast of Sri Lanka, enjoys a balmy temperatures of 30°C (86°F) with little rain during this period. However, the Maha monsoon affects Sri Lanka’s northeast region from October to January. The best time to visit Colombo Sri Lanka’s largest city is hot, wet and humid year-round. The city receives abundant rainfall from April to May, then again from September to November. In terms of temperatures, Colombo enjoys an average high of 30°C (87°F) and an average low of 24°C (75°F) year round. The best time to visit Kandy and the central hill region Kandy is a major tourist destination in the Central Province, a mountainous area of Sri Lanka. Sitting at an elevation of 500m (1,600ft), Kandy is considerably cooler than the coastal regions of Sri Lanka with temperatures averaging between 23-26°C (73-79°F) year-round. Rainfall is expected throughout the year, but it tends to be heavy in October and November. The best time to visit Kandy is from January to March as the weather is mild and the rainfall is at its lowest. Please note that there is also an inter-monsoonal period in October and November during which rain and thunderstorms occur frequently across the island. So always pack an umbrella with you. The weather in Sri Lanka can be unpredictable during any season so depending on where in the country you're going, it's best to take layers. The central highlands can be significantly cooler throughout the year, so you'll need warmer clothes here. Lightweight rainwear is also recommended any time of year. Sri Lanka is an island off the southeast coast of the Indian state of Tamil Nadu. It is separated from India by the Indian Ocean, in which lies the chain of islands called Adam's Bridge. Sri Lanka has an irregular surface with low-lying coastal plains running inland from the northern and eastern shores. The central and southern areas slope into the hills and mountains ranges of the Central Highlands. The highest peak is Pidurutalagala, which reaches an altitude of 2,524m (8,281ft). The country’s coast consistx mainly of beaches and bays, with rocky cliffs in the northeast and southwest. Due to the southwestern location of the mountain range, precipitation is heavily weighted towards this area, with the the northern and eastern parts fall in the rain shadow of the Central Highlands. The wettest parts of the country in the south and west receive around 4,000mm of rainfall annually. There are two major national parks, in the northwest and southeast, designated as such to protect the immense biodiversity of the country’s wildlife."
asia,taiwan,"Despite the island’s relatively small size, the fact that Taiwan is bisected by the Tropic of Cancer means weather conditions can vary considerably from the north to the south. There’s a subtropical climate with moderate temperatures in the north, where rain is common in the winter months. The southern areas, where temperatures are higher on average, are less prone to rain. Summer can be uncomfortably hot across the island, making autumn and spring great times to come calling. The typhoon season usually comes into effect in late summer and makes itself felt most forcefully on the east coast, although in some years the phenomenon is far more active than in others. It might sound tempting to visit during the Chinese New Year celebrations, but while you’re likely to experience some spectacular revelry, you should be aware that accommodation prices always sky-rocket and many businesses and service providers shut down for the period. Light- to mediumweights, with rainwear advised. It’s a good idea not to wear overly skimpy clothing when visiting some of the stricter Buddhist temples, although light trousers and a t-shirt will always be considered perfectly acceptable for both sexes. It’s a wise idea to pack swimwear for the hot springs, although some single-sex bathing areas require no costume to be worn. Bring a pair of sturdy shoes too – even if you’re not intending to go trekking, there are some enjoyable short walks to be had at natural attractions like Taroko Gorge. Though Taiwanese territory includes dozens of small islands in the Taiwan Strait and the Pacific, the main island known as Taiwan covers the vast majority of the land area under Taiwanese administration. Almost two-thirds of Taiwan is covered by mountains, with 258 peaks over 3,000m (9,850ft), most of them heavily forested. The highest of these, Yushan (Jade Mountain), is northeast Asia's tallest mountain at 3,952m (13,042ft). This mountainous terrain is the result of the island’s location – it sits on the fault line of two tectonic plates, and was formed after a dramatic geological upheaval between four and five million years ago. It also sits on the Tropic of Cancer, putting it on the same line of latitude as Hawaii in the North Pacific. But while mountains dominate Taiwan's centre and rugged east coast, the island's western third is mostly alluvial plain and is host to most of the population. The two Pacific islands, Lyudao (Green Island) and Lanyu (Orchid Island), are popular holiday destinations, while the Taiwan Strait archipelagos of Penghu and Matzu hold historic and cultural appeal. And just a few kilometres off mainland China's Fujian coast, the tiny islands of Kinmen and Lieyu remain under Taiwanese control. The combination of climate, terrain and topography also makes the main island of Taiwan ripe for endemic flora and fauna, particularly in the diverse mountain forests. The Taiwan fir tree and Formosan black bear are two key examples. There’s also a rich bird life to enjoy, with various specialist tours available."
asia,tajikistan,"In Dushanbe, temperatures vary between a minimum -13°C (8°F) in December/January to a maximum 33°C (91°F) in July/August. Humidity is generally low. In the mountains, it can reach -45°C (-49°F) when the wind chill factor is taken into consideration, and rise to 20°C (68°F) in summer. In the Pamir Mountains, the climate is semi-arid to polar. Warm clothing should be taken by anyone intending to visit themountains. Those intending to visit the southwest in summer shouldbring light, loose clothing. Tajikistan is bordered by Kyrgyzstan and Uzbekistan to the north, Afghanistan to the south and China (PR) to the east. 93% of the republic is occupied by mountains, most notably by the sparsely populated Pamir Mountains, which include Mount Garmo (formerly Pik Kommunizma; 7,495m/24,590ft), the highest point of the former Soviet Union. The mountainous terrain means that in winter it is impossible to reach the east or the north of the country by road without taking a detour through Uzbekistan and Kyrgyzstan. In the fertile plains of the southwest, cotton dominates the agriculture. In the north, in the Khudzand (formerly Leninabad) region, cotton and silk are the main crops."
asia,thailand,"Thailand has a tropical climate so it is generally very hot, particularly between March and May with April being the hottest month (30°C/86°F). The monsoon season runs from May/June to October, when the climate is still hot and humid with torrential rains. Rain in the south typically continues until December. The best time for travelling is November to March as the monsoon season is over and the hot temperatures of Thailand’s summer are yet to arrive. The southern islands like Koh Samui are best from June to September where temperatures average around 27/28°C (81/82°F). Lightweights and rainwear are advised. Informal dress is widely acceptable. Beachwear should be confined to the beach and topless sunbathing is frowned upon. Thailand is quite modest so short or revealing clothes in major cities should be avoided if the goal is to be respectful to the locals. Anything knee-length or longer is acceptable as well as shirts, polos and blouses. Take a pair of good walking shoes or boots for jungle trekking, and long-sleeved tops to protect against mosquitoes. Thailand is bordered to the west by Myanmar and the Indian Ocean, to the south and east by Malaysia and the Gulf of Thailand, to the east by Cambodia, and to the north and east by Laos. The Thai highlands dominate the north of Thailand and Isan in the northeast consists of the Khorat Plateau. The Chao Phraya River dominates central Thailand. Southern Thailand is part of the Malay Peninsula."
asia,turkmenistan,"Turkmenistan has an extreme continental climate: temperatures in Ashgabat vary between 46°C (114°F) in summer and -5°C (23°F) in winter, although it has been known to reach -22°C (-8°F) in extremity. Temperatures in the desert in summer can reach 50°C (122°F) during the day before falling rapidly at night. During the winter, it can reach -10° to -15°C (14° to 15°F). For those intending to visit the desert in summer, lightweights arevital for the day with warmer clothing for those intending to spend thenight in the open. Heavyweights should be taken for winter visits. Turkmenistan shares borders with Kazakhstan to the north, Uzbekistan to the east, Afghanistan to the southeast and Iran to the south. To the west is the Caspian Sea. Nearly 80% of the country is taken up by the Kara-Kum (Black Sand) Desert, the largest in the CIS. The longest irrigation canal in the world stretches 1,100km (687 miles), from the Amu-Darya River in the east, through Ashgabat, before being piped the rest of the way to the Caspian Sea."
asia,uzbekistan,"Uzbekistan has an extreme continental climate. It is generally warmest in the south and coldest in the north. Temperatures in December average -8°C (18°F) in the north and 0°C (32°F) in the south. However, extreme fluctuations can take temperatures as low as -35°C (-31°F). During the summer months, temperatures can climb to 45°C (113°F) and above. Humidity is low. In recent years Uzbekistan has been notably affected by general global warming and the specific effects of the drying-out of the Aral Sea. This has turned snowy cold winters to mild ones with less precipitation. The best time to visit is during the spring and autumn, with September being the absolute optimum month. In the winter it can be bitterly cold so bring layers - mountain-wear works well. In the summer, it gets very hot so loose, breathable cottons are best. Covering approximately 448,000 sq km (173,000 square miles), Uzbekistan (literally ‘land of the Uzbeks’) is one of the larger countries in Central Asia (Kazakhstan is by far the largest) and the only one sharing borders with four other Central Asian states. Mountainous Kyrgyzstan lies to the northeast, Tajikistan to the south, Turkmenistan to the southwest, and Kazakhstan to the north with which it shares a suitably long border at 2,203km (1,370 miles). There is also a very short 137km (85 miles) border with war-torn Afghanistan. To the north, and in the central part of the country, lies one of the largest deserts in the world – Kyzyl Kum (meaning ‘red sand’ in Turkic), where the odd camel grazes and where gold is mined in the centre. Elsewhere, the terrain of Uzbekistan is mostly flat. Desert dunes cover the country and some river valleys flow along the courses of the Amu Darya, Syr Darya (Sirdaryo), and Zarafshon rivers. Steppe land and desert plains account for two-thirds of the land mass, with the remainder of the land rising into the foothills of the Tien Shan mountain range. The peaks along the border of Tajikistan and Kyrgyzstan reach to over 4,000m (13,000ft). While less than 10% of the land is arable, there are plenty of minerals, containing stocks of natural gas, lignite and coal, gold (it is the world’s ninth largest producer) and copper."
asia,vietnam,"Because of its geography, the climate in Vietnam varies greatly from north to south with three distinct climatic zones. Tropical monsoons occur from October to April in the centre and from May to September in the north and south. It is almost totally dry throughout the rest of the year. It can get exceptionally hot, however, all year round, but the north has a cooler time between October and April. Temperatures around the country can reach up to 40C in the height of the hot and rainy season (May to September), but the northern highlands and Hanoi can often seem chilly and damp in the winter. There is no one ideal time to visit Vietnam as a whole but at any time of year there will be sun somewhere. The high season is from September to March but bad weather can disrupt travel in the centre of the country during this period, particularly from September to December. For the beaches in the centre of Vietnam, Danang, Hoi An and Nha Trang, it is best to go between May and August. The autumn is the best time to visit Halong Bay when there should be clear skies. Loose, natural fabrics all year, but warmer clothing is required in the highlands, and in the winter in north Vietnam. Rainwear is essential during the wet season. Vietnam lies within the tropics and is principally agricultural with a central tropical rainforest. The 'S'-shaped country shares borders to the north with the People's Republic of China and to the west with Laos and Cambodia. The eastern and southern shores are lapped by the South China Sea and the Pacific Ocean. Northern Vietnam is dominated by the Red River plains that bisect Hanoi, and the Lo and Chay rivers. To the north and west of Hanoi are green hilly areas; particularly well known is the Sapa Valley. East of Hanoi, Halong Bay features a stunning natural formation of more than 3,000 limestone islands jutting sharply out of the South China Sea. To the south, it is the Mekong River and its fertile plain that governs the geography and consequently the rice industry. Among the plains, in the middle of the thin country and to the southwest are mountainous areas, known as the highlands, where farmers grow rubber, tea and coffee."
caribbean,anguilla,"Hot throughout the year, tempered by trade winds in local areas, particularly early in the year. The average rainfall for the year is 89 cm (35in) and the hurricane season is from July to November. Lightweight cottons throughout the year. Waterproofs are advisable for the rainy season. Anguilla, the northernmost of the Leeward Islands, also comprises the island of Sombrero, lying 48km (30 miles) north of Anguilla, and several small islets or cays. The nearest islands are St Maarten, 8km (5 miles) south of Anguilla, and St Kitts and Nevis, 113km (70 miles) to the southeast. The islands are mainly flat (the highest point, Crocus Hill, is only 60m (213ft) above sea level) with, arguably, some of the best beaches in the world."
caribbean,antigua-and-barbuda,"The islands enjoy a very pleasant balmy tropical climate which remains warm and relatively dry throughout the year, with relatively little variance. Temperatures range from lows of 22°C (72°F) to highs of 40°C (104°F) all year round, with October to January being the hottest time of year, staying in the region of 30°C (86°F) to 35°C (95°F). Cooling winds blow in from the south east so the heat rarely feels too unbearable. In general, humidity in Antigua and Barbuda is quite low, meaning you won't be drenched in a sweaty fug during your trip. The rainy season runs from around June to November, and during this time daily rain showers are common; there is also a good chance of tropical storms and hurricanes across the islands. Their location in the hurricane zone means the islands are vulnerable to powerful storms every two or three years, whilst hurricanes can hit every two to six years. Dress for a tropical climate - lightweight cottons or linens will be appropriate for most of the year, but those visiting the islands from June to September should bring waterproofs so that they're not caught out when the rains come. Antigua & Barbuda is made up of three islands; Antigua, Barbuda and Redonda. Low-lying and volcanic in origin, they are part of the Leeward Islands group in the northeast Caribbean. Antigua's coastline curves into a multitude of coves and harbours (they were once volcanic craters) and there are more than 365 beaches of fine white sand, fringed with palms. The island's highest point, Mount Obama stands at 402m (1,319ft) high, and its capital is St John's. Barbuda lies 61.5km (38.2 miles) north of Antigua and is an unspoiled natural haven for wild deer and exotic birds. Its 8km-long (5 miles) beach is reputed to be among the most beautiful in the world. The island's village capital, Codrington, was named after the Gloucestershire family that once leased Barbuda from the British Crown for the price of 'one fat pig per year if asked for'. There are excellent beaches and the ruins of some of the earliest plantations in the West Indies. The coastal waters are rich with all types of crustaceans and tropical fish. Redonda, the smallest in the group, is little more than an uninhabited rocky islet. It lies 40km (25 miles) southwest of Antigua."
caribbean,aruba,"With an average temperature of 28°C (82°F), this dry and sunny island is made pleasantly cool throughout the year by constant trade winds. Short showers occur during the months of October, November and December. Lightweight clothes. Sweaters are useful for air conditioned hotels and restaurants. Some upscale restaurants do not allow shorts and T-shirts. Aruba is the smallest island in the Leeward group of the Dutch Caribbean islands, which also include Bonaire and Curaçao; they are popularly known as the ABCs. As the westernmost island of the group, Aruba is the final link in the long Antillean chain, lying 20km (12.5 miles) off the Venezuelan coast. The island is 30km (19.6 miles) long and 9km (6 miles) across at its widest, and has a flat landscape dominated by Jamanota Mountain (188m/617ft). The west and southwest coast, known as Palm Beach, boasts 11km (7 miles) of palm-fringed powder-white sands while, in contrast, the east coast has a desolate and windswept shoreline of jagged rocks carved into peculiar shapes by the pounding surf."
caribbean,bahamas,"Comprising 700 low-lying islands, mostly islets (cays or keys), atolls and rocks, the Bahamas archipelago extends 970km (500 miles) southeastward from the coast of Florida. Sparkling, clear waters are home to vibrant underwater gardens on the world's third longest barrier reef, which contains about 14.5% of the coral on the planet. Fertile marine plains are split between two oceanic facets, the Little Bahama Bank and the Great Bahama Bank, where visibility of around 60m (197ft) is the norm. Exotic flowers, pine forest, rugged shoreline, barren savannahs, marshlands and sandy beaches typify the landscape, on a bed of limestone and coral rocks."
caribbean,barbados,"Constant sea breezes cool Barbados's balmy, tropical climate but the island is still sunnier and drier than the other islands. During the so-called wet season (July to November), some brief rain showers are likely. Average sunshine hours per day are eight to 10 from November to March and eight to nine from April to October. Tropical storms and hurricanes may occur between June and November. Lightweight cottons are advised; beachwear is not worn in towns. As the most easterly of the Caribbean chain, Barbados lies well to the east of the West Indies. A lively surf scene enjoys pounding waves along the rugged east coast where a rocky shoreline kicks up plenty of spray. To the west, fine white sand beaches and natural coral reefs predominate. A handful of gently rolling hills form a ripple to the north while the rest of the island is predominantly flat. Coral filters ensure surrounding waters are among the purest on the planet."
caribbean,bermuda,"Sub-tropical, with no wet season. The Gulf Stream, which flows between Bermuda and the North American continent, keeps the climate temperate. Change of seasons comes during mid November to mid December and from late March through to April, when spring or summer weather may occur and visitors should be prepared for both. Showers may be heavy at times but the skies usually clear quickly. Summer temperatures prevail from May to mid October, with the warmest weather from July to September - this period is occasionally followed by high winds. Visitors should note that such high winds between 1 June and 30 November can (albeit rarely) turn into hurricanes and tropical storms. Since Bermuda is a small target, most storms brush by and only bring elevated surf. Lightweight cottons and linens. Light waterproofs or umbrellas are advisable and warmer clothes for cooler months. Bermuda consists of a chain of some 180 coral islands and islets lying 1,046km (650 miles) off the coast of Cape Hatteras. The seven largest of the islands are linked by bridges and one causeway to form the principal mainland. There are no rivers or streams and the islands are entirely dependent on rainfall for fresh water."
caribbean,bonaire,"Hot throughout the year, but tempered by cooling trade winds. The average temperature is 28°C (82°F) and the average rainfall is 50cm (20 inches) per year. Bonaire offers good conditions for diving all year round, althought conditions at the south end are generally at their calmest February-April. Lightweights with warmer top layers for evenings; showerproof clothing is advisable throughout the year. Bonaire is the second-largest island in the former Netherlands Antilles and is located 80km (50 miles) north of Venezuela and 48km (30 miles) east of Curaçao. The landscape is flat and rocky and, owing to low annual rainfall, Bonaire has a fairly barren desert climate. The island has small, beautiful beaches and safe waters."
caribbean,british-virgin-islands,"The climate is subtropical and tempered by trade winds. There is little variation between summer and winter. Rainfall is low, varying slightly from island to island. Night-time temperatures drop to a comfortable level. Visitors should note that the British Virgin Islands are susceptible to hurricanes and earthquakes, although these are by no means a frequent occurrence. The primary hurricane season is from June to November. Tropical lightweights. Dress is generally informal but swimwear is confined to beaches. The 50-plus islands, rocks and cays of the British Virgin Islands, only 16 of which are inhabited, make up the larger part of an archipelago forming the northern extremity of the Leeward Islands in the eastern Caribbean. They are situated approximately 100km (62 miles) east of Puerto Rico, adjoining the US Virgin Islands. The islands are volcanic in origin, with the exception of Anegada, which is formed of coral and limestone and is the lowest lying. The topography is otherwise mountainous, the highest point being Tortola's Sage Mountain, which rises to 550m (1,800ft). There are remnants of a primeval rainforest on Tortola."
caribbean,cayman-islands,"The Cayman Islands enjoy a very warm, tropical climate throughout the year, with temperatures that can reach highs of up 33°C (91°F) during the summer, moderated by trade winds. The best time to visit is during the dry months of December to April, when temperatures are generally cooler than in summer, hovering between 22°C (72°F) and 27°C (80°F). The rainy season is from May to October but showers are generally short and sharp (ie lasting hours rather than days); these can provide temporary respite from the hot summer sun. July and August are the hottest months, whilst the hurricane season is from June to November. Since the islands are low-lying, there is a high risk of flooding if a storm hits. During the dry season, wear lightweight, natural fabrics; temperatures rarely dip below 21°C (70°F), so you shouldn't need anything much heavier than this. A good strategy is to take layers, so that you can be ready for cooler conditions should the trade winds blow strongly. During the rainy season, bring a light raincoat or umbrella. Warmer clothes may be needed on cooler evenings. The Cayman Islands are situated in the Caribbean, around 440km (270 miles) northwest of Jamaica, 390km (240 miles) south of Cuba and 640km (400 miles) south of Miami. At around 197 sq km (76 sq miles) Grand Cayman is the largest and most populous island in this British overseas territory. Little Cayman and Cayman Brac lie around 130km (80 miles) northeast of Grand Cayman and are separated from each other by a channel about 16km (10 miles) wide. The islands are peaks of a very deep subterranean mountain range called Cayman Ridge, which extends from Cuba towards the Gulf of Honduras. All three islands are situated in some of the deepest waters in the Caribbean; the Cayman Trough which separates them from Jamaica reaches a depth of 6.4km (4 miles). The islands themselves are relatively low-lying, with the highest point on Grand Cayman reaching only 18m (60ft) above sea level. The Bluff, a magnificent limestone peak on Cayman Brac is the highest point on all three islands, reaching an elevation of 43m (140ft). The beaches on the Cayman Islands are considered some of the very best in the Caribbean, the most notable one being Seven Mile Beach on Grand Cayman. Casuarinas and sea-grape trees line many of the beaches, many of which are protected offshore by a fringing reef."
